t_sr,t_stdp,t_stdp_asymm,a_stdp_asymm,f,k,R_10_w,R_10_nw,SNR_10_w,SNR_10_nw,R_60_w,R_60_nw,SNR_60_w,SNR_60_nw
5.0,0.02,2.5,-0.45,0.6,0.5,0.01275,0.23816,3.99092,3.51695,0.04595,0.44448,8.12086,8.46867
5.0,0.03,2.0,-0.4,0.8,1.5,0.63272,0.55237,19.93159,6.61137,0.66378,0.72445,48.08865,13.76455
5.0,0.03,1.5,-0.45,0.8,1.0,0.80772,0.61461,13.98331,9.20911,0.87443,0.71376,33.87149,22.27813
4.0,0.02,1.5,-0.5,0.8,1.5,0.60386,0.51282,21.00033,5.73488,0.64506,0.70886,49.63904,13.86911
4.0,0.02,2.5,-0.5,0.8,0.5,0.23191,0.47568,6.20197,5.78322,0.32411,0.63386,14.67234,13.98739
5.0,0.02,2.0,-0.4,0.8,1.5,0.59054,0.46442,21.27983,5.33057,0.63661,0.68267,48.27475,11.44864
5.0,0.03,1.5,-0.4,0.8,1.5,0.78826,0.66613,21.35847,11.20164,0.82941,0.71428,50.1859,26.8266
5.0,0.02,2.5,-0.5,0.8,1.0,0.00045,0.44432,10.29042,6.1197,0.00016,0.58722,24.20425,13.85994
5.0,0.02,1.5,-0.4,0.8,0.5,0.7354,0.61759,10.67594,9.31542,0.80977,0.69685,25.65253,23.80055
5.0,0.02,2.5,-0.5,0.6,1.5,0.10541,0.42321,16.01961,5.52799,0.11623,0.57853,37.38877,14.18016
5.0,0.02,2.0,-0.45,0.8,0.5,0.36193,0.20332,4.16125,2.40052,0.72365,0.53998,9.73774,5.70011
5.0,0.03,2.0,-0.4,0.6,1.0,0.77343,0.54076,10.44314,6.02251,0.87986,0.71632,26.20436,13.614
5.0,0.02,2.5,-0.5,0.8,1.5,0.0583,0.44163,18.81194,5.44537,0.06536,0.59548,44.86492,13.79572
5.0,0.02,2.5,-0.4,0.8,0.5,0.1132,0.00185,4.04777,1.36093,0.27105,0.00397,9.022,2.28063
5.0,0.03,2.5,-0.4,0.6,0.5,0.10023,0.00273,3.28476,0.98224,0.30039,0.03984,8.31191,2.70907
5.0,0.02,2.5,-0.5,0.6,0.5,0.20523,0.42888,5.32802,5.63053,0.26648,0.58412,13.57095,13.59961
5.0,0.03,1.5,-0.45,0.6,0.5,0.76221,0.63671,10.45605,9.39469,0.83556,0.7273,23.10488,23.08741
5.0,0.03,2.0,-0.4,0.6,0.5,0.67779,0.54798,7.54028,6.2635,0.86929,0.72966,16.58223,13.26296
5.0,0.03,2.5,-0.45,0.8,1.5,0.11195,0.23297,17.91439,3.58903,0.12242,0.44605,45.07432,9.73136
5.0,0.03,2.0,-0.45,0.6,0.5,0.47854,0.31847,4.16717,3.30416,0.8124,0.64438,10.11335,6.7989
5.0,0.02,1.5,-0.4,0.8,1.0,0.81837,0.62175,13.78001,9.35319,0.87841,0.69624,34.2641,22.97653
