kappa,tau_stdp,tau_sr,asymm,frac,R2,skill,area,L2
1.0,0.03,3.0,0.95,0.6,0.55232,-4.44646,0.5591,0.62999
0.05,0.03,4.0,0.95,0.5,0.94681,-0.69547,0.20156,0.19134
1.0,0.02,5.0,0.9,0.6,0.76474,-2.99067,0.47041,0.44037
0.5,0.025,3.0,0.9,0.6,0.9411,-0.78502,0.2222,0.20651
0.05,0.03,5.0,0.95,0.7,0.93761,-0.77634,0.22205,0.19604
0.05,0.02,4.0,0.95,0.6,0.88601,-1.50008,0.29101,0.28219
0.1,0.02,5.0,0.99,0.5,0.80202,-2.88657,0.44706,0.42905
1.0,0.03,3.0,0.95,0.5,0.62324,-3.91326,0.50338,0.56835
1.0,0.02,5.0,0.95,0.7,0.43113,-5.82943,0.73051,0.75374
0.01,0.03,5.0,0.99,0.6,0.72648,-3.75246,0.53663,0.52475
1.0,0.025,3.0,0.95,0.7,0.43062,-5.38873,0.68068,0.7392
0.1,0.02,5.0,0.9,0.5,0.80868,-2.21429,0.4058,0.35486
0.5,0.025,5.0,0.95,0.6,0.85293,-2.17139,0.36216,0.35017
0.1,0.03,4.0,0.9,0.6,0.87359,-1.67787,0.31671,0.3023
0.01,0.03,3.0,0.99,0.7,0.63605,-3.98513,0.64913,0.57659
0.1,0.02,3.0,0.95,0.7,0.93639,-0.99428,0.23631,0.23061
1.0,0.02,4.0,0.99,0.5,0.27226,-8.02817,0.87189,1.01905
0.05,0.025,5.0,0.99,0.7,0.77885,-3.12915,0.47662,0.45586
0.5,0.02,3.0,0.95,0.5,0.82763,-2.06349,0.35384,0.35434
1.0,0.025,4.0,0.99,0.6,0.23864,-8.30881,0.90312,1.05058
1.0,0.02,4.0,0.99,0.7,0.1842,-8.3967,0.96111,1.06058
1.0,0.03,5.0,0.99,0.5,0.33061,-7.94464,0.82953,0.98757
0.5,0.025,4.0,0.9,0.7,0.91801,-1.13448,0.28368,0.24093
0.05,0.025,4.0,0.95,0.5,0.93101,-0.95305,0.22198,0.22049
0.1,0.03,5.0,0.95,0.6,0.94791,-0.61418,0.2092,0.17821
1.0,0.03,4.0,0.95,0.7,0.48879,-5.15591,0.6527,0.69468
0.01,0.03,3.0,0.9,0.5,0.89509,-1.63508,0.28964,0.30485
0.5,0.02,5.0,0.9,0.7,0.896,-1.42369,0.32706,0.2676
1.0,0.025,5.0,0.9,0.5,0.89,-1.69249,0.33693,0.29727
0.1,0.02,5.0,0.9,0.6,0.81737,-2.1543,0.39597,0.34819
0.05,0.025,5.0,0.9,0.5,0.82845,-2.07018,0.38453,0.33896
1.0,0.03,4.0,0.95,0.6,0.58945,-4.42295,0.56457,0.61209
1.0,0.03,4.0,0.9,0.6,0.82918,-2.23085,0.38156,0.36466
0.05,0.03,4.0,0.99,0.5,0.66776,-4.07955,0.60146,0.57331
1.0,0.02,4.0,0.95,0.7,0.41178,-5.78926,0.72301,0.76644
1.0,0.025,4.0,0.99,0.7,0.20578,-8.29643,0.9209,1.04925
0.01,0.02,5.0,0.99,0.6,0.8232,-2.57108,0.37523,0.39413
0.1,0.025,4.0,0.95,0.7,0.94408,-0.71577,0.20268,0.19369
0.5,0.03,5.0,0.9,0.5,0.9429,-0.7315,0.23711,0.19111
1.0,0.025,4.0,0.95,0.7,0.45248,-5.47518,0.68075,0.73064
0.05,0.02,5.0,0.9,0.5,0.8048,-2.2755,0.40983,0.36157
1.0,0.025,3.0,0.9,0.5,0.86154,-1.70381,0.32567,0.31275
0.5,0.025,5.0,0.9,0.6,0.92584,-1.02495,0.27289,0.2236
0.5,0.025,4.0,0.95,0.7,0.77274,-2.76382,0.43647,0.42477
1.0,0.025,4.0,0.99,0.5,0.28391,-7.8513,0.85311,0.99883
0.5,0.02,3.0,0.99,0.6,0.30046,-7.20897,0.81226,0.94931
1.0,0.03,4.0,0.95,0.5,0.64956,-3.94668,0.50841,0.55824
0.05,0.025,4.0,0.99,0.7,0.73798,-3.3336,0.51356,0.48914
0.01,0.03,4.0,0.99,0.6,0.69934,-3.81511,0.6007,0.54349
1.0,0.025,3.0,0.99,0.6,0.21108,-8.14429,0.90511,1.05776
1.0,0.03,5.0,0.95,0.5,0.67868,-3.94225,0.50667,0.54566
0.05,0.02,4.0,0.99,0.7,0.80856,-2.52842,0.42208,0.3983
0.01,0.02,5.0,0.9,0.6,0.8018,-2.33614,0.41432,0.36819
0.5,0.03,5.0,0.95,0.6,0.8792,-1.86477,0.33167,0.3162
0.01,0.02,3.0,0.99,0.5,0.75844,-2.77097,0.47515,0.43608
1.0,0.025,3.0,0.9,0.7,0.6821,-3.28676,0.49244,0.49593
0.1,0.02,3.0,0.9,0.6,0.88055,-1.77718,0.30271,0.32124
0.05,0.025,5.0,0.95,0.5,0.90565,-1.181,0.29067,0.24068
0.01,0.02,5.0,0.95,0.7,0.87566,-1.6316,0.32318,0.29051
1.0,0.02,5.0,0.99,0.6,0.25338,-8.28243,0.90351,1.02476
0.01,0.03,3.0,0.95,0.6,0.95584,-0.72346,0.22619,0.19934
1.0,0.03,4.0,0.9,0.5,0.8982,-1.4436,0.30454,0.27585
0.01,0.02,4.0,0.95,0.7,0.91188,-1.21079,0.26228,0.24949
1.0,0.02,4.0,0.95,0.6,0.49188,-5.18065,0.65078,0.69763
0.05,0.03,4.0,0.95,0.6,0.95433,-0.59464,0.18064,0.18007
0.05,0.025,5.0,0.9,0.6,0.82175,-2.14594,0.39229,0.34732
0.1,0.03,5.0,0.99,0.7,0.70544,-4.05346,0.59201,0.55775
0.5,0.025,3.0,0.99,0.6,0.30668,-7.07079,0.80341,0.93352
0.1,0.02,4.0,0.95,0.6,0.91111,-1.1631,0.26155,0.24417
0.05,0.025,4.0,0.9,0.6,0.85399,-1.86599,0.34629,0.32355
0.5,0.02,3.0,0.9,0.7,0.90998,-1.17183,0.28297,0.25125
0.1,0.025,4.0,0.99,0.6,0.67697,-3.85066,0.52439,0.54747
0.05,0.02,3.0,0.9,0.6,0.86722,-1.9664,0.3217,0.3432
0.01,0.03,3.0,0.95,0.5,0.95449,-0.65733,0.22576,0.19174
1.0,0.025,3.0,0.99,0.7,0.17391,-8.43422,0.96458,1.09105
0.05,0.025,3.0,0.99,0.5,0.68245,-3.57184,0.57254,0.52869
0.01,0.03,4.0,0.9,0.7,0.86102,-1.84123,0.33562,0.32071
0.01,0.025,5.0,0.9,0.5,0.81961,-2.12376,0.39363,0.34497
0.01,0.02,3.0,0.9,0.6,0.85591,-2.0144,0.33633,0.34874
0.01,0.03,4.0,0.95,0.6,0.94875,-0.71058,0.20536,0.1931
0.01,0.03,5.0,0.9,0.7,0.8352,-2.02277,0.37604,0.33368
0.05,0.02,5.0,0.95,0.7,0.86562,-1.68253,0.32897,0.29614
0.01,0.03,4.0,0.95,0.5,0.94204,-0.7511,0.20201,0.19762
0.01,0.025,4.0,0.99,0.6,0.73643,-3.2531,0.49036,0.48007
0.01,0.025,4.0,0.99,0.7,0.76583,-3.06613,0.51087,0.45893
0.1,0.02,3.0,0.99,0.5,0.69926,-3.3786,0.56278,0.50636
0.01,0.02,4.0,0.99,0.6,0.81023,-2.51936,0.41586,0.39724
0.01,0.03,4.0,0.9,0.5,0.8611,-1.77817,0.33408,0.31359
0.01,0.025,3.0,0.99,0.6,0.68115,-3.50274,0.54768,0.52093
0.01,0.03,4.0,0.9,0.6,0.86594,-1.71006,0.32825,0.30592
1.0,0.02,4.0,0.95,0.5,0.60843,-4.28852,0.56199,0.59672
0.5,0.02,3.0,0.95,0.7,0.72268,-3.0022,0.44483,0.46316
1.0,0.02,3.0,0.95,0.5,0.56541,-4.41534,0.56941,0.62649
0.5,0.02,4.0,0.99,0.6,0.34111,-6.9656,0.7823,0.89905
0.01,0.025,5.0,0.95,0.6,0.90575,-1.19033,0.2738,0.24179
0.5,0.025,3.0,0.95,0.6,0.80581,-2.26445,0.37846,0.37768
1.0,0.025,4.0,0.9,0.7,0.71598,-3.19475,0.49674,0.47349
0.1,0.025,3.0,0.9,0.5,0.88631,-1.66902,0.29305,0.30886
0.1,0.02,4.0,0.99,0.6,0.72267,-3.39944,0.46429,0.49657
0.01,0.03,5.0,0.95,0.6,0.93665,-0.81315,0.22186,0.20013
1.0,0.02,5.0,0.99,0.7,0.1996,-8.58748,0.96798,1.05844
0.1,0.03,5.0,0.99,0.5,0.72585,-3.86623,0.57334,0.53723
0.5,0.02,4.0,0.95,0.5,0.88669,-1.61427,0.30832,0.29513
0.5,0.03,4.0,0.9,0.5,0.95644,-0.50275,0.19421,0.1696
0.1,0.025,5.0,0.99,0.5,0.7314,-3.62551,0.48384,0.51057
0.5,0.02,3.0,0.9,0.5,0.9509,-0.65235,0.20473,0.19114
1.0,0.02,5.0,0.95,0.5,0.63206,-4.32025,0.55145,0.5873
1.0,0.025,3.0,0.9,0.6,0.7742,-2.5336,0.41427,0.40864
0.1,0.025,3.0,0.95,0.6,0.94736,-0.81084,0.23139,0.2095
0.5,0.02,5.0,0.9,0.6,0.91726,-1.14232,0.28775,0.23644
0.01,0.025,4.0,0.95,0.6,0.92834,-1.06099,0.23812,0.2326
0.05,0.02,3.0,0.9,0.5,0.87408,-1.86305,0.31181,0.3311
0.5,0.02,5.0,0.95,0.5,0.90668,-1.53544,0.31231,0.27993
1.0,0.02,3.0,0.95,0.7,0.38632,-5.76134,0.72434,0.78212
0.5,0.02,3.0,0.95,0.6,0.80633,-2.26797,0.37101,0.37794
0.05,0.025,3.0,0.95,0.7,0.94372,-0.79754,0.24537,0.20794
0.1,0.025,3.0,0.9,0.7,0.89004,-1.63693,0.28881,0.30502
0.01,0.03,3.0,0.99,0.6,0.62631,-4.02705,0.6294,0.58145
0.05,0.025,3.0,0.95,0.5,0.9443,-0.95426,0.23709,0.22594
0.05,0.02,5.0,0.9,0.6,0.80003,-2.28916,0.41422,0.3631
1.0,0.02,5.0,0.9,0.7,0.66407,-3.79901,0.55976,0.52972
0.1,0.02,5.0,0.95,0.6,0.90193,-1.26856,0.28017,0.25044
0.1,0.03,3.0,0.99,0.7,0.57726,-4.45582,0.6492,0.63121
0.01,0.02,4.0,0.9,0.7,0.82828,-2.16985,0.37844,0.35772
0.5,0.02,5.0,0.9,0.5,0.9363,-0.80972,0.236,0.19974
1.0,0.03,5.0,0.99,0.7,0.24207,-8.33651,0.91472,1.03052
0.01,0.03,5.0,0.9,0.5,0.83462,-1.99255,0.37369,0.33038
0.01,0.025,3.0,0.99,0.7,0.6996,-3.35068,0.57029,0.50322
0.1,0.025,3.0,0.95,0.5,0.94514,-0.90676,0.24471,0.22052
0.1,0.025,5.0,0.95,0.5,0.92111,-1.00319,0.25052,0.22111
0.05,0.03,4.0,0.99,0.6,0.69039,-3.86223,0.60429,0.54875
0.05,0.03,4.0,0.9,0.6,0.87591,-1.62417,0.31518,0.29609
0.1,0.02,4.0,0.99,0.5,0.72919,-3.31801,0.48539,0.48723
0.5,0.03,5.0,0.99,0.6,0.40596,-6.9171,0.73382,0.87395
0.05,0.025,3.0,0.9,0.7,0.87686,-1.84067,0.31447,0.32868
1.0,0.025,5.0,0.9,0.7,0.71938,-3.33775,0.51384,0.47887
0.05,0.03,3.0,0.9,0.6,0.89202,-1.68148,0.29957,0.31013
0.5,0.025,4.0,0.9,0.6,0.94141,-0.71882,0.22113,0.19396
0.05,0.025,5.0,0.99,0.6,0.78155,-3.12304,0.49517,0.45513
0.01,0.02,3.0,0.95,0.7,0.93005,-1.02977,0.24153,0.23477
